Title,RMS Mean (dB),RMS Total (dB),RMS Min (dB),RMS Max (dB),Offset (sec),Endset (sec),Length (sec)
093_Aurora – Synthion,-12.4107,-9.94,"(127.0, -36.4737)","(96.0, -5.49)",0.0583,194.8717,194.93
094_Takahashi Youko – A Cruel Angel’s Thesis残酷な天使のテーゼ – Nightcore,-19.8617,-18.13,"(127.0, -62.3425)","(105.0, -11.625)",1.8579,208.1436,211.4282
095_JVNA – Catch Me (Chroma RGB lights),-13.4111,-9.99,"(126.0, -41.894)","(118.0, -3.4739)",4.807,192.3076,199.6557
096_Fleetwood Mac – Hold Me,-20.4226,-16.86,"(127.0, -61.0583)","(82.0, -11.111)",6.7543,223.3295,230.9209
097_Get Up – Tokyo Machine,-12.2823,-9.74,"(127.0, -37.592)","(60.0, -4.2855)",0.9256,188.9175,190.3445
098_MY FIRST STORY – 1000000 TIMES feat chelly (EGOIST),-10.313,-9.74,"(127.0, -51.8942)","(30.0, -6.6871)",0.6627,312.7263,315.0458
099_🌠Starride🌠- Mysteka,-10.0222,-8.7899,"(127.0, -53.0462)","(110.0, -5.9096)",2.9043,231.4565,235.8324
100_Hollowness – Minami,-14.6352,-12.55,"(126.0, -69.69)","(115.0, -7.9618)",5.5055,309.7077,320.0159
101_ROCK in the USA – John Mellencamp,-19.0891,-16.9,"(127.0, -52.6299)","(37.0, -11.4374)",0.9648,174.0567,175.6462
102_The Nights – Avicii,-12.8381,-11.55,"(2.0, -35.9043)","(101.0, -5.9623)",0.3417,188.2209,190.6343
103_That’s Life – Frank Sinatra,-14.496,-13.24,"(126.0, -52.9101)","(57.0, -9.2338)",0.0485,184.4128,187.1967
104_Never Gonna Give You Up (Well Mapped+Timed Version),-17.3491,-15.76,"(127.0, -50.6656)","(70.0, -11.3018)",0.0915,211.9635,212.0551
105_Everyday – Virtual Riot,-15.2547,-11.59,"(127.0, -62.1548)","(28.0, -5.7218)",0.0047,232.989,233.9849
106_Fireflies – Owl City,-20.518,-15.13,"(127.0, -65.8105)","(93.0, -9.1751)",1.3413,231.1778,233.9748
107_Portal 2 – Turret Opera  Cara Mia Addio,-16.2208,-12.5,"(127.0, -48.062)","(79.0, -7.8664)",1.6823,153.1123,155.2359
108_Kuchibairo no Oto,-14.42,-12.8,"(127.0, -54.6551)","(97.0, -7.2789)",0.2038,373.6555,375.1985
109_Kurenai [Taiko no Tatsujin Soundtrack] – X Japan,-24.3621,-15.34,"(1.0, -40.2573)","(2.0, -16.2592)",2.9004,2.7863,173.6725
110_You Are Mine ft Kayliana – S3RL,-10.0227,-8.02,"(127.0, -70.8104)","(28.0, -4.9931)",2.7993,190.4036,194.6049
111_Renai Circulation [227 Soundtrack] – Ayaka Tachikawa,-19.206,-15.98,"(7.0, -53.529)","(117.0, -11.3093)",1.5853,129.1063,130.6916
112_Fruit Ninja in Beat Saber!,-22.2519,-18.03,"(48.0, -41.9675)","(46.0, -8.3909)",0.0528,244.007,244.0599
113_JVNA – Catch Me (Chroma RGB lights),-13.3073,-10.0,"(127.0, -39.425)","(20.0, -2.7799)",4.807,192.3076,198.0303
114_Fleetwood Mac – Hold Me,-20.4226,-16.86,"(127.0, -61.0583)","(82.0, -11.111)",6.7543,223.3295,230.9209
115_ANIMA (TV Size) [Sword Art Online Alicization – War of Underworld Part 2 Opening] – ReoNa,-12.2179,-10.97,"(127.0, -47.7207)","(68.0, -8.015)",0.7264,265.8684,267.028
116_Hollowness – Minami,-14.6352,-12.55,"(126.0, -69.69)","(115.0, -7.9618)",5.5055,309.7077,320.0279
117_дора – Дорадура (Doradura),-20.9888,-13.43,"(0.0, -21.67)","(2.0, -20.6404)",0.0454,2.8792,129.1367
118_Aether and Light,-15.5027,-12.22,"(127.0, -57.105)","(103.0, -6.464)",0.0475,229.4595,230.1899
119_ハロハワユ – Hello how are you – ナノウ – featHatsune Miku,-14.27,-11.1199,"(62.0, -56.69)","(38.0, -5.57)",3.4804,277.8035,288.8203
120_Moe Shop – WWW (feat EDOGA-SULLIVAN) VS Map,-14.8281,-9.84,"(5.0, -24.473)","(18.0, -6.2064)",0.2945,42.6318,207.2134
121_Ayase  Last Resort  Ft Ado,-12.2918,-11.64,"(127.0, -26.1003)","(28.0, -7.579)",0.5758,185.063,186.7566
122_Akiyama Uni – Odoru Mizushibuki  あきやま うに – 踊る水飛沫,-13.7134,-12.77,"(126.0, -37.93)","(76.0, -9.2375)",1.0414,195.1404,197.8677
123_Rameses B – Children,-11.2093,-8.7899,"(127.0, -60.4075)","(32.0, -4.01)",0.0318,204.2891,204.3693
124_The Clash – Rock the Casbah,-17.0611,-15.92,"(127.0, -50.1725)","(0.0, -10.4)",0.4669,219.0417,219.5087
125_Jigsaw Puzzle – mafumafu,-10.611,-10.1,"(67.0, -22.8332)","(105.0, -7.326)",1.4229,204.2427,209.408
126_DANCE! VR DANCE! – KurageP,-12.5685,-11.32,"(127.0, -53.1704)","(25.0, -7.7184)",0.5101,202.2458,204.021
127_Pegboard Nerds – Rhythm Is A Dancer (ft Tia Simone),-12.1621,-9.1199,"(127.0, -67.3927)","(92.0, -4.2587)",0.1268,221.5183,223.2584
128_The Foundations – Build Me Up Buttercup,-13.9785,-12.35,"(126.0, -69.9912)","(29.0, -8.852)",0.8556,170.8059,174.3227
129_Can’t Take My Eyes Off Of You – Frankie Valli,-16.9769,-15.39,"(127.0, -68.6467)","(64.0, -11.03)",0.5009,200.1095,202.0473
130_Voice (TV Size) [Chuunibyou demo Koi ga Shitai! Ren Opening] – ZAQ,-14.8176,-13.92,"(1.0, -33.6591)","(117.0, -10.4304)",0.0116,88.6537,89.4305
131_Boom Clap – Charli XCX,-12.1907,-10.24,"(123.0, -58.5492)","(59.0, -4.3817)",1.4825,167.1836,174.9431
132_[Alphabeat – Pegboard Nerds Pack] Pegboard Nerds – Luigi’s Mansion,-10.7489,-8.55,"(124.0, -36.7587)","(55.0, -3.2023)",0.392,227.4626,233.4639
133_Last Of Me [Arknights Soundtrack] – Steve Aoki ft RUNN,-12.2953,-10.56,"(127.0, -60.1546)","(64.0, -5.295)",0.0095,180.6048,181.8561
134_kz-livetune – Tell Your World – feat Hatsune Miku,-33.9214,-11.17,"(2.0, -54.8965)","(4.0, -23.275)",1.6471,8.9164,272.427
135_[Alphabeat – Pegboard Nerds Pack] Pegboard Nerds – Disconnected,-11.4329,-10.0,"(123.0, -21.4792)","(34.0, -5.0212)",0.0949,240.1407,241.9856
136_[Alphabeat – Pegboard Nerds Pack] Pegboard Nerds – Gunslinga,-10.1269,-8.44,"(124.0, -42.99)","(117.0, -5.1175)",6.7047,162.7254,174.6358
137_Monster [Arknights Soundtrack] – Starset,-16.1761,-14.02,"(125.0, -71.88)","(34.0, -9.3425)",3.2068,252.1687,261.4345
138_Michael Jackson – Off the Wall,-21.2747,-17.88,"(127.0, -55.3807)","(109.0, -10.6134)",0.3001,245.4813,246.5368
139_ShinRa-Bansho  Maids Heart Is A Puppet (Chroma RGB),-11.2079,-10.46,"(1.0, -22.8028)","(62.0, -7.59)",0.6833,195.7906,200.0272
140_Get It Right – Left Boy,-14.641,-11.19,"(2.0, -57.7409)","(83.0, -5.7465)",0.2638,249.5469,249.8108
141_Apashe – I’m A Dragon (ft Sway),-13.3455,-9.57,"(126.0, -54.5281)","(39.0, -5.2595)",0.014,387.4481,392.776
142_Jackpot The Fat Rat,-20.4176,-10.01,"(3.0, -25.4201)","(0.0, -14.27)",0.1782,8.5913,195.9173
143_Blinding Lights – The Weeknd,-15.0142,-13.05,"(9.0, -54.076)","(74.0, -7.8262)",0.8548,256.9055,262.5353
144_Everyday – Virtual Riot,-15.2547,-11.59,"(127.0, -62.1548)","(28.0, -5.7218)",0.0047,232.989,233.9849
145_Rockefeller Street (EightOEight Hardstyle Remix),-11.5802,-9.24,"(127.0, -50.7436)","(42.0, -5.3599)",0.047,238.4224,238.5723
146_Save Us From Ourselves [Arknights Soundtrack] – Bear Grillz ft Micah Martin,-10.0496,-8.97,"(125.0, -62.8602)","(50.0, -4.549)",7.2056,184.3664,195.7083
147_I want You 반짝★반짝 Sunshine DJMAX,-11.4484,-10.24,"(125.0, -48.0713)","(39.0, -6.3848)",2.9385,131.0998,136.7408
148_Digital Girl – KIRA,-12.8229,-9.73,"(3.0, -64.0939)","(37.0, -5.8547)",0.2182,64.505,182.6234
149_Ding Dong Song – Günther & The Sunshine Girls,-15.5064,-13.36,"(127.0, -60.2562)","(28.0, -8.7343)",0.8412,241.9983,244.3076
150_Aoi Haru,-13.1491,-12.33,"(44.0, -27.0693)","(0.0, -8.36)",0.37,87.7249,246.769
151_Tuesday (feat Danelle Sandoval)  Burak Yeter,-14.2539,-10.57,"(127.0, -64.8264)","(25.0, -4.6755)",0.228,188.8246,190.3212
152_Takin’ It To The Streets – The Doobie Brothers,-22.5527,-19.42,"(127.0, -54.9546)","(110.0, -13.71)",0.1302,214.9703,215.7703
153_Nothing For Free – Pendulum,-12.4688,-10.41,"(126.0, -63.3862)","(79.0, -6.0737)",0.1495,181.5336,183.1463
154_Aiobahn and Yunomi feat nicamoq – Makuramoto ni Ghost Katomori Remix,-12.5029,-10.7899,"(127.0, -56.3404)","(42.0, -7.0095)",1.2324,209.7226,211.5907
155_WINNER – REALLY REALLY (Japanese vers),-13.006,-9.93,"(106.0, -64.2928)","(96.0, -5.9875)",0.8668,202.2458,244.8297
156_Rick Springfield – Jessie’s Girl,-21.8869,-18.11,"(127.0, -63.526)","(56.0, -12.1225)",0.1559,195.0063,195.1622
157_Rita – DORCHADAS [Shikkoku no Sharnoth Opening],-12.8184,-11.98,"(125.0, -37.4584)","(21.0, -8.1006)",0.595,273.0666,278.3481
158_Girls’ Generation (SNSD) – All Night,-15.68,-10.15,"(0.0, -15.68)","(0.0, -15.68)",0.476,1.3003,231.467
159_Hacking to the Gate [iDOLM@STER Soundtrack] – Ranko Kanzaki,-14.7061,-13.99,"(122.0, -65.0706)","(21.0, -11.4209)",5.3542,122.6013,133.0144
160_Blind Guardian – Road of No Release,-14.9292,-13.13,"(126.0, -63.2607)","(89.0, -8.5015)",0.0,387.4946,390.8357
161_PSYQUI – Education,-15.7,-8.98,"(0.0, -15.7)","(0.0, -15.7)",2.076,0.4179,226.9968
162_[Extra Sensory] Hayako – Analys,-11.9076,-11.55,"(47.0, -25.0806)","(102.0, -8.1653)",3.6124,124.6447,128.9509
163_[FUTURE FUNK PACK] Windy Summer (Night Tempo 100 Pure Remastered),-18.0818,-16.2399,"(126.0, -62.6368)","(38.0, -11.9736)",0.1259,198.577,200.5725
164_[FUTURE FUNK PACK] Remember Summer Days (MACROSS 82-99 Short Ver),-14.4671,-12.35,"(126.0, -38.57)","(0.0, -6.42)",3.3588,262.6595,266.0183
165_EveryBody -Shirakami Fubuki,-14.721,-11.6,"(127.0, -64.9796)","(90.0, -6.1367)",0.593,91.1615,92.2282
166_Windows XP Startup,-20.3774,-15.92,"(4.0, -31.0281)","(67.0, -6.9485)",0.2331,7.348,7.5812
167_Seven Lions – Silent Skies (ft Karra)  [Chroma RGB],-14.5849,-12.07,"(127.0, -59.3439)","(55.0, -5.5535)",5.3876,240.5587,247.1749
168_cYsmix – Peer Gynt (Chroma 20),-11.0306,-9.91,"(126.0, -66.9462)","(32.0, -7.1925)",0.2495,138.6695,140.9204
169_Blossom – Synthion,-10.7448,-9.22,"(127.0, -36.8425)","(95.0, -4.9325)",1.69,217.1565,218.8466
170_Give Me a Nightmare – Alice Schach and the Magic Orchestra,-15.6211,-14.3,"(108.0, -68.18)","(50.0, -9.48)",4.5934,153.391,185.9327
171_Chili Corn Carne – The Real Group,-14.9019,-14.11,"(10.0, -29.7506)","(66.0, -8.5589)",5.6135,197.2302,206.2966
172_Kodachrome – Paul Simon [Chroma],-18.8605,-16.4899,"(125.0, -60.3803)","(99.0, -11.2322)",0.3911,211.2551,215.3857
173_[FUTURE FUNK PACK] Disco Lady – Nanidato,-11.049,-10.27,"(7.0, -27.7718)","(125.0, -6.8471)",0.0827,186.7348,188.4981
174_[FUTURE FUNK PACK] Shiawase No Monosashi (VANTAGE  Short Ver),-9.0792,-8.55,"(88.0, -25.3262)","(42.0, -5.4237)",2.8965,297.0926,299.9891
175_Bohemian Rhapsody – Queen,-22.0306,-16.77,"(126.0, -59.285)","(109.0, -10.6961)",2.0461,353.3612,359.4554
176_kanaria – KING,-15.0105,-14.17,"(36.0, -23.9265)","(96.0, -10.7425)",1.8201,131.6107,134.8832
177_Ventura Highway – America,-13.1383,-11.2,"(127.0, -60.0957)","(99.0, -7.1966)",0.7336,210.3727,211.6473
178_Boulevard of Broken Dreams (Nightcore),-12.5152,-11.23,"(127.0, -53.3077)","(15.0, -7.3465)",0.169,216.4564,217.7672
179_Laur – Metamorphose,-7.8302,-6.62,"(126.0, -61.4887)","(58.0, -3.345)",3.2748,145.3569,150.0578
180_Azazal & Said – I Said Meow,-11.3152,-9.85,"(127.0, -61.8387)","(87.0, -4.6437)",1.1274,214.831,217.0122
181_Trifect – Neverland (Short Ver),-13.1741,-11.11,"(23.0, -38.9403)","(13.0, -7.3276)",0.0775,174.9391,177.0274
182_Geoxor – Gloom [Wallmap] V2,-16.4051,-9.65,"(4.0, -28.7299)","(24.0, -5.6231)",0.1123,40.9135,165.1378
183_[FUTURE FUNK PACK] Shiawase No Monosashi (VANTAGE  Short Ver),-9.0792,-8.55,"(88.0, -25.3262)","(42.0, -5.4237)",2.8965,297.0926,299.9891
184_[FUTURE FUNK PACK] You Look So Good – Moe Shop,-15.5168,-12.76,"(62.0, -33.2906)","(118.0, -8.9982)",0.5421,201.5492,203.0106
185_[FUTURE FUNK PACK] Idolstep Dreaming – Mikazuki BIGWAVE,-13.6744,-11.34,"(127.0, -58.9468)","(98.0, -5.1842)",0.1348,216.9672,218.1155
