,Title,Url
151,KJ Sawka x Hi I'm Ghost - Misfits (Full EP),https://www.youtube.com/watch?v=_1MnBxOuM4M
152,Kannibalen Radio ft. Dr. Fresch - Ep.138 Hosted by Lektrique,https://www.youtube.com/watch?v=hFoQdgmm9Es
153,Kannibalen Radio  2018 Recap Mix - Ep.137 Hosted by Lektrique,https://www.youtube.com/watch?v=mopLFmm9HaY
154,VAMPA - Chillin Killin,https://www.youtube.com/watch?v=bHWoJjg2u0o
155,Kannibalen & Friends - All I Want For Christmas Is Bass Vol. 3,https://www.youtube.com/watch?v=UVoYWjRA6GI
156,Kannibalen Radio ft. JACKNIFE - Ep.136 Hosted by Lektrique,https://www.youtube.com/watch?v=3drz-IMmuzY
157,JayKode x Blanke - Artifacts,https://www.youtube.com/watch?v=gt5rCl-rFUE
158,Apashe - Requiem (Remix EP),https://www.youtube.com/watch?v=VMtk2C8tSZ0
159,3Teeth - Atrophy (HVDES remix),https://www.youtube.com/watch?v=QQR2UeYRqe8
160,Black Tiger Sex Machine at Chang Carnival (Bangkok),https://www.youtube.com/watch?v=naJU-tp-MVA
161,Kannibalen Radio ft. Pixel Terror - Ep.135 Hosted by Lektrique,https://www.youtube.com/watch?v=Gy_cN_9u6zE
162,Apashe x Cherry Lena - Feeling Good,https://www.youtube.com/watch?v=2iXd_Q7Bzj8
163,Kannibalen Radio ft. Panda Eyes - Ep.134 Hosted by Lektrique,https://www.youtube.com/watch?v=VWvkyxxlRG4
164,EXSSV - This Is House,https://www.youtube.com/watch?v=09K8z9Jq6C8
165,Kannibalen Radio ft. FVCKDIVMONDS - Ep.133 Hosted by Lektrique,https://www.youtube.com/watch?v=v_TGGU951pQ
166,Sullivan King - Come One Come All (Remix EP),https://www.youtube.com/watch?v=u2CGSvantJc
167,Black Tiger Sex Machine - New Worlds (Remix LP),https://www.youtube.com/watch?v=0zOliI9CZWc
168,Black Tiger Sex Machine - Ceremony Tour 2.0 (Part II),https://www.youtube.com/watch?v=bTOzLkgckhk
169,Kannibalen Radio ft. Protohype -  Ep.132 Hosted by Lektrique,https://www.youtube.com/watch?v=5yrae6cWJTU
170,Black Tiger Sex Machine - Artificial Intelligence (Sam Lamar Remix),https://www.youtube.com/watch?v=0BHgAJjtysw
171,Black Tiger Sex Machine - Ceremony Tour 2.0 (Part I),https://www.youtube.com/watch?v=9PCkLXh7zJw
172,Kannibalen Radio ft. Dani Deahl - Ep. 131 Hosted by Lektrique,https://www.youtube.com/watch?v=vkcU1GSx6Lk
173,Subtronics - Pashmina Death Sauce (Full EP),https://www.youtube.com/watch?v=0bfcwYamgcA
174,Apashe - Do It (feat. Black Prez),https://www.youtube.com/watch?v=n_zt_sukLeE
175,Black Tiger Sex Machine at Lost Lands 2018,https://www.youtube.com/watch?v=Q1uWvLwJQWU
